Percent Down 90,Avg. Price 90,Percent Down 365,Avg. Price 365,Price Now,Price Now Source,Deal found,AMZ link,Keepa Link,Title,last update,last price change,Sales Rank - Reference,Reviews - Rating,Reviews - Review Count,FBA Pick&Pack Fee,Referral Fee %,Tracking since,Categories - Root,Categories - Sub,Categories - Tree,ASIN,Freq. Bought Together,Type,Manufacturer,Brand,Product Group,Variation Attributes,Item Type,Author,Contributors,Binding,Number of Items,Number of Pages,Publication Date,Languages,Package - Quantity,Package Weight,Package Height,Package Length,Package Width,Listed since,Edition,Release Date,Format,Sales Rank - Current,Sales Rank - 30 days avg.,Sales Rank - 60 days avg.,Sales Rank - 90 days avg.,Sales Rank - 180 days avg.,Sales Rank - 365 days avg.,Sales Rank - Lowest,Sales Rank - Lowest 365 days,Sales Rank - Highest,Sales Rank - Highest 365 days,Sales Rank - Drops last 30 days,Sales Rank - Drops last 60 days,Sales Rank - Drops last 90 days,Sales Rank - Drops last 180 days,Sales Rank - Drops last 365 days,Buy Box - Current,Buy Box - 30 days avg.,Buy Box - 60 days avg.,Buy Box - 90 days avg.,Buy Box - 180 days avg.,Buy Box - 365 days avg.,Buy Box - Lowest,Buy Box - Lowest 365 days,Buy Box - Highest,Buy Box - Highest 365 days,Buy Box - 90 days OOS,Buy Box - Stock,Amazon - Current,Amazon - 30 days avg.,Amazon - 60 days avg.,Amazon - 90 days avg.,Amazon - 180 days avg.,Amazon - 365 days avg.,Amazon - Lowest,Amazon - Lowest 365 days,Amazon - Highest,Amazon - Highest 365 days,Amazon - 90 days OOS,Amazon - Stock,New - Current,New - 30 days avg.,New - 60 days avg.,New - 90 days avg.,New - 180 days avg.,New - 365 days avg.,New - Lowest,New - Lowest 365 days,New - Highest,New - Highest 365 days,New - 90 days OOS,New - Stock,"New, 3rd Party FBA - Current","New, 3rd Party FBA - 30 days avg.","New, 3rd Party FBA - 60 days avg.","New, 3rd Party FBA - 90 days avg.","New, 3rd Party FBA - 180 days avg.","New, 3rd Party FBA - 365 days avg.","New, 3rd Party FBA - Lowest","New, 3rd Party FBA - Lowest 365 days","New, 3rd Party FBA - Highest","New, 3rd Party FBA - Highest 365 days","New, 3rd Party FBA - 90 days OOS","New, 3rd Party FBA - Stock","New, 3rd Party FBM - Current","New, 3rd Party FBM - 30 days avg.","New, 3rd Party FBM - 60 days avg.","New, 3rd Party FBM - 90 days avg.","New, 3rd Party FBM - 180 days avg.","New, 3rd Party FBM - 365 days avg.","New, 3rd Party FBM - Lowest","New, 3rd Party FBM - Lowest 365 days","New, 3rd Party FBM - Highest","New, 3rd Party FBM - Highest 365 days","New, 3rd Party FBM - 90 days OOS","New, 3rd Party FBM - Stock",Buy Box Used - Current,Buy Box Used - 30 days avg.,Buy Box Used - 60 days avg.,Buy Box Used - 90 days avg.,Buy Box Used - 180 days avg.,Buy Box Used - 365 days avg.,Buy Box Used - Lowest,Buy Box Used - Lowest 365 days,Buy Box Used - Highest,Buy Box Used - Highest 365 days,Buy Box Used - 90 days OOS,Buy Box Used - Stock,Used - Current,Used - 30 days avg.,Used - 60 days avg.,Used - 90 days avg.,Used - 180 days avg.,Used - 365 days avg.,Used - Lowest,Used - Lowest 365 days,Used - Highest,Used - Highest 365 days,Used - 90 days OOS,Used - Stock,"Used, like new - Current","Used, like new - 30 days avg.","Used, like new - 60 days avg.","Used, like new - 90 days avg.","Used, like new - 180 days avg.","Used, like new - 365 days avg.","Used, like new - Lowest","Used, like new - Lowest 365 days","Used, like new - Highest","Used, like new - Highest 365 days","Used, like new - 90 days OOS","Used, like new - Stock","Used, very good - Current","Used, very good - 30 days avg.","Used, very good - 60 days avg.","Used, very good - 90 days avg.","Used, very good - 180 days avg.","Used, very good - 365 days avg.","Used, very good - Lowest","Used, very good - Lowest 365 days","Used, very good - Highest","Used, very good - Highest 365 days","Used, very good - 90 days OOS","Used, very good - Stock","Used, good - Current","Used, good - 30 days avg.","Used, good - 60 days avg.","Used, good - 90 days avg.","Used, good - 180 days avg.","Used, good - 365 days avg.","Used, good - Lowest","Used, good - Lowest 365 days","Used, good - Highest","Used, good - Highest 365 days","Used, good - 90 days OOS","Used, good - Stock","Used, acceptable - Current","Used, acceptable - 30 days avg.","Used, acceptable - 60 days avg.","Used, acceptable - 90 days avg.","Used, acceptable - 180 days avg.","Used, acceptable - 365 days avg.","Used, acceptable - Lowest","Used, acceptable - Lowest 365 days","Used, acceptable - Highest","Used, acceptable - Highest 365 days","Used, acceptable - 90 days OOS","Used, acceptable - Stock",List Price - Current,List Price - 30 days avg.,List Price - 60 days avg.,List Price - 90 days avg.,List Price - 180 days avg.,List Price - 365 days avg.,List Price - Lowest,List Price - Lowest 365 days,List Price - Highest,List Price - Highest 365 days,List Price - 90 days OOS,List Price - Stock,New Offer Count - Current,New Offer Count - 30 days avg.,New Offer Count - 60 days avg.,New Offer Count - 90 days avg.,New Offer Count - 180 days avg.,New Offer Count - 365 days avg.,Used Offer Count - Current,Used Offer Count - 30 days avg.,Used Offer Count - 60 days avg.,Used Offer Count - 90 days avg.,Used Offer Count - 180 days avg.,Used Offer Count - 365 days avg.
81%,$103.99,55%,$44.52,-,-,2025-04-22 07:06:00,https://www.amazon.com/dp/1499810695,https://keepa.com/#!product/1-1499810695,WWE Legendary Joke Book,2025-04-23 00:36:00,2025-04-12 02:04:00,https://www.amazon.com/b/?node=283155,-,208,$3.15,15.00%,2022-04-01,Books,"Children's Books, Humor, Jokes & Riddles","Books, Subjects, Children's Books, Humor, Jokes & Riddles","=""1499810695""",https://keepa.com/#!product/1-B0BYKDLP1G,ABIS_BOOK,BuzzPop,BuzzPop,Book,DROP,Book,BuzzPop,BuzzPop (author),Paperback,1,64,2020,"English (Published), English (Original Language), English ()",0,95,5,193,128,2019-07-14,Illustrated,2020-01-21,Illustrated,-,-,DROP,-,-,698,699,699,"5,939,296","5,939,296",1,DROP,4,10,45,-,-,DROP,-,-,-,$6.99,$6.99,$68011.44,$68011.44,100%,DROP,$6.99,$6.99,$6.99,$6.99,$6.99,$6.99,$6.99,DROP,$59396.84,DROP,0%,DROP,$14.99,$14.98,$14.98,$14.98,$14.98,$14.68,$5.81,$5.81,$69260.04,$69260.04,88%,DROP,-,-,DROP,-,-,-,$30.15,$30.15,$64681.40,$64681.40,100%,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,$0.01,$0.01,$64383.50,$64383.50,-,DROP,-,-,-,-,-,-,-,-,-,-,-,DROP,$0.06,$0.05,$0.04,$0.04,$0.03,$0.04,$0.01,$0.01,$63981.12,$63981.12,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,$0.01,$0.01,$64681.40,$64681.40,-,DROP,$0.07,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,-,-,-,-,-,-,-,-,-,DROP,699,699,699,699,699,699,"1,994","1,993","1,993","1,993","1,993","1,993"
81%,$114.16,85%,$141.57,-,-,2025-04-23 00:44:00,https://www.amazon.com/dp/1440245010,https://keepa.com/#!product/1-1440245010,Gun Digest Book of Modern Gun Values: The Shooter's Guide to Guns 1900 to Present,2025-04-23 00:44:00,2025-04-21 20:08:00,https://www.amazon.com/b/?node=283155,-,60,$6.21,15.00%,2015-07-21,Books,"Crafts, Hobbies & Home, Antiques & Collectibles, Firearms & Weapons, Firearms","Books, Subjects, Crafts, Hobbies & Home, Antiques & Collectibles, Firearms & Weapons, Firearms","=""1440245010""","https://keepa.com/#!product/1-1510726888, https://keepa.com/#!product/1-1936120909",ABIS_BOOK,Gun Digest Books,Gun Digest Books,Book,DROP,Book,"Peterson, Phillip","Peterson, Phillip (author), Johnson, Andrew (author)",Paperback,1,712,2016,"English (Published), English (Original Language), English ()",1,1315,36,274,208,2015-04-13,Eighteenth,-,-,-,-,DROP,-,-,-,"1,872","1,872","3,768,118","3,768,118",1,DROP,4,6,15,-,-,DROP,-,-,-,$33.95,$33.95,$68813.60,$68813.60,100%,DROP,$35.99,$35.99,$35.99,$35.99,$35.99,$35.99,$35.99,DROP,$23938.98,DROP,0%,DROP,$29.62,$29.57,$229.06,$229.06,$229.06,$229.06,$5.96,$5.96,$74769.74,$74769.74,97%,DROP,-,$314.08,$312.66,$312.66,$309.28,$299.38,$62.00,$62.00,$74783.52,$74783.52,21%,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,$0.01,$0.01,$30633.40,$30633.40,-,DROP,-,-,-,-,-,-,-,-,-,-,-,DROP,$0.04,$0.04,$0.03,$0.03,$0.03,$0.03,$0.01,$0.01,$35767.86,$35767.86,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,$0.01,$0.01,$0.01,$0.01,-,$0.01,$0.01,$70024.28,$70024.28,-,DROP,$0.05,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,-,-,-,-,-,-,-,-,-,DROP,"3,599","3,599","3,599","3,599","3,599","3,599","2,962","2,957","22,797","22,797","22,797","22,797"
80%,$107.48,98%,$1013.62,-,-,2025-04-22 15:56:00,https://www.amazon.com/dp/B000ANE9DQ,https://keepa.com/#!product/1-B000ANE9DQ,Instruction Manual For Steamfitter-Pipefititter Journeymen & Apprentices,2025-04-22 22:16:00,-,https://www.amazon.com/b/?node=283155,-,7,$7.58,15.00%,2018-08-10,Books,-,"Books, Subjects","=""B000ANE9DQ""",-,ABIS_BOOK,Steamfitter-Pipefitter Apprenticeship,-,Book,DROP,Book,DROP,Unknown (author),Hardcover,1,512,1980,English (Published),0,1743,43,285,225,-,-,-,-,-,-,DROP,-,-,-,-,-,-,-,1,DROP,2,2,5,-,-,DROP,-,-,-,-,-,-,-,-,DROP,$39.99,$39.99,$39.99,$39.99,$39.98,$39.99,$39.99,DROP,$59231.64,DROP,12%,DROP,-,-,DROP,-,-,-,-,-,-,-,100%,DROP,-,-,DROP,-,-,-,$37.59,$37.59,$50843.76,$50843.76,100%,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,-,-,-,-,-,-,-,-,-,DROP,$0.04,$0.04,$0.04,$0.04,$0.02,$0.02,$0.01,$0.01,$40291.14,$40291.14,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,$0.01,$0.01,$50843.76,$50843.76,-,DROP,$0.04,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,-,-,-,-,-,-,-,-,-,DROP,"3,999","3,999","3,999","3,999","3,998","3,999",-,-,-,-,-,-
78%,$98.32,69%,$68.22,-,-,2025-04-22 17:32:00,https://www.amazon.com/dp/0891950257,https://keepa.com/#!product/1-0891950257,Forty Centuries of Wage and Price Controls: How Not to Fight Inflation,2025-04-22 22:16:00,2024-01-26 23:48:00,https://www.amazon.com/b/?node=283155,-,134,$3.53,15.00%,2016-01-27,Books,"Business & Money, Economics, Economic History","Books, Subjects, Business & Money, Economics, Economic History","=""0891950257""",-,ABIS_BOOK,Green Hill Pub,Brand: Jameson Books Inc.,Book,DROP,Book,"Schuettinger, Robert Lindsay","Schuettinger, Robert Lindsay (author)",Hardcover,1,184,1979,"English (Published), English (Original Language), English ()",0,431,23,231,157,-,-,-,-,-,-,DROP,-,-,-,-,-,-,-,1,DROP,1,1,7,-,-,DROP,-,-,-,-,-,-,-,-,DROP,$9.95,$9.95,$9.94,$9.94,$9.94,$9.94,$9.95,DROP,$26675.47,DROP,18%,DROP,-,-,DROP,-,-,-,$54.63,$54.63,$57055.48,$57055.48,100%,DROP,-,-,DROP,-,-,$99.99,$10.95,$10.95,$68734.60,$68734.60,100%,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,$0.01,$0.01,$27170.27,$27170.27,-,DROP,-,-,-,-,-,-,-,-,-,-,-,DROP,$0.05,$0.04,$0.02,$0.02,$0.01,$0.02,$0.01,$0.01,$30733.06,$30733.06,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,$0.01,$0.01,$0.01,$32713.24,$32713.24,-,DROP,$0.05,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,-,-,-,-,-,-,-,-,-,DROP,995,995,994,994,994,994,-,-,-,-,-,-
78%,$108.11,20%,$30.42,-,-,2025-04-23 00:44:00,https://www.amazon.com/dp/0553171615,https://keepa.com/#!product/1-0553171615,Jitterbug Perfume,2025-04-23 00:44:00,2022-02-13 12:00:00,https://www.amazon.com/b/?node=283155,-,3469,$3.53,15.00%,2016-11-28,Books,"Literature & Fiction, Contemporary","Books, Subjects, Literature & Fiction, Contemporary","=""0553171615""",-,ABIS_BOOK,Bantam Books,-,Book,DROP,Book,"Robbins, Tom","Robbins, Tom (author)",Paperback,1,-,1985,"English (Published), English (Original Language), English ()",0,399,26,200,128,-,-,-,Import,-,-,DROP,-,-,-,-,-,-,-,1,DROP,1,2,2,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,DROP,-,DROP,-,DROP,-,DROP,-,-,DROP,-,-,-,$72.24,$72.24,$48832.04,$48832.04,100%,DROP,-,-,DROP,-,-,-,$44.72,$44.72,$65073.80,$65073.80,100%,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,$0.01,$0.01,$56427.92,$56427.92,-,DROP,-,-,-,-,-,-,-,-,-,-,-,DROP,$0.04,$0.02,$0.02,$0.02,$0.02,$0.03,$0.01,$0.01,$41614.62,$41614.62,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,$0.01,$0.01,$65073.80,$65073.80,-,DROP,$0.04,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,-,-,-,-,-,-,-,-,-,DROP,-,-,-,-,-,-,-,-,-,-,-,-
78%,$113.95,75%,$101.57,-,-,2025-04-22 22:16:00,https://www.amazon.com/dp/053123035X,https://keepa.com/#!product/1-053123035X,Frederic Chopin (Revised Edition) (Getting to Know the World's Greatest Composers),2025-04-22 22:10:00,2024-05-10 14:54:00,https://www.amazon.com/b/?node=283155,-,83,$3.15,15.00%,2017-10-17,Books,"Children's Books, Biographies, Musical","Books, Subjects, Children's Books, Biographies, Musical","=""053123035X""","https://keepa.com/#!product/1-053122242X, https://keepa.com/#!product/1-0516445413",ABIS_BOOK,Children's Press,Children's Press,Book,DROP,Book,"Venezia, Mike","Venezia, Mike (author), Venezia, Mike (illustrator)",Paperback,1,40,2017,"English (Published), English (Original Language), English ()",1,91,5,236,199,2017-03-07,Revised,2017-09-01,-,-,-,DROP,-,-,794,618,618,"3,572,796","3,572,796",1,DROP,1,4,14,-,-,DROP,-,-,-,$7.95,$7.95,$36563.00,$36563.00,100%,DROP,-,$7.95,$7.95,$7.95,$7.94,$7.94,$7.95,DROP,$35727.96,DROP,0%,DROP,-,-,DROP,-,-,$7.75,$2.00,$2.00,$69560.78,$69560.78,100%,DROP,-,-,DROP,-,-,-,$31.62,$31.62,$64502.00,$64502.00,100%,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,$0.02,$0.01,$0.01,$39538.16,$39538.16,-,DROP,-,-,-,-,-,-,-,-,-,-,-,DROP,$0.09,$0.07,$0.06,$0.06,$0.05,$0.04,$0.01,$0.01,$42981.26,$42981.26,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,$0.01,$0.01,$64502.00,$64502.00,-,DROP,$0.09,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,-,-,-,-,-,-,-,-,-,DROP,-,795,795,795,794,794,-,-,-,-,-,"1,231"
77%,$90.41,48%,$39.90,-,-,2025-04-22 22:18:00,https://www.amazon.com/dp/1591827647,https://keepa.com/#!product/1-1591827647,The One I Love,2025-04-22 22:16:00,2025-02-25 16:56:00,https://www.amazon.com/b/?node=283155,-,38,$3.53,15.00%,2011-04-10,Books,"Comics & Graphic Novels, Manga","Books, Subjects, Comics & Graphic Novels, Manga","=""1591827647""",https://keepa.com/#!product/1-1591822998,ABIS_BOOK,TokyoPop,-,Book,DROP,Book,"Ohkawa, Nanase","Ohkawa, Nanase (author), Clamp (creator), Nekoi, Mick (illustrator), Yoshimoto, Ray (translator)",Paperback,1,128,2004,"English (Published), English (Original Language), English ()",1,318,12,231,148,-,0,2004-10-12,-,-,-,DROP,-,-,-,-,-,-,-,2,DROP,4,5,7,-,-,DROP,-,-,-,$26.41,$26.41,$67788.92,$67788.92,100%,DROP,-,$9.98,$9.99,$9.99,$9.99,$9.98,$9.99,DROP,$22980.88,DROP,39%,DROP,-,-,$203.44,$203.44,$203.44,$203.44,$1.08,$1.08,$74400.08,$74400.08,96%,DROP,-,-,$79.99,$79.99,$79.98,$72.99,$9.95,$9.95,$64561.24,$64561.24,46%,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,$0.01,$0.01,$26632.24,$26632.24,-,DROP,-,-,-,-,-,-,-,-,-,-,-,DROP,$0.04,$0.04,$0.03,$0.03,$0.05,$0.05,$0.01,$0.01,$23847.33,$23847.33,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,$0.01,$0.01,-,$0.01,$0.01,$0.01,$64616.46,$64616.46,-,DROP,$0.04,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,-,-,-,-,-,-,-,-,-,DROP,-,998,999,999,999,998,-,-,"1,572","1,572","1,572","1,572"
76%,$129.29,74%,$117.32,-,-,2025-04-22 10:00:00,https://www.amazon.com/dp/B00DEK5FAI,https://keepa.com/#!product/1-B00DEK5FAI,Armies of the Napoleonic Wars: An Illustrated History by Chris McNab (Aug 23 2011),2025-04-22 22:18:00,2025-03-20 04:56:00,https://www.amazon.com/b/?node=283155,-,27,$6.21,15.00%,2018-07-18,Books,-,"Books, Subjects","=""B00DEK5FAI""",-,ABIS_BOOK,Osprey Publishing,-,Book,DROP,Book,Chris McNab,Chris McNab (author),Paperback,-,-,-,-,0,907,25,305,203,2014-09-23,-,-,-,-,-,DROP,-,-,-,-,-,-,-,1,DROP,1,1,3,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,DROP,-,DROP,-,DROP,-,DROP,$49.99,$49.99,$49.98,$49.98,$49.98,$49.98,$49.99,$49.99,$49654.12,$49654.12,63%,DROP,-,-,DROP,-,$95.00,$95.00,$95.00,$95.00,$69580.60,$69580.60,100%,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,$0.01,DROP,-,-,-,$0.01,$0.01,$39683.86,$39683.86,-,DROP,-,-,-,-,-,-,-,-,-,-,-,DROP,$0.02,$0.01,$0.01,$0.01,$0.01,$0.01,$0.01,$0.01,$43431.92,$43431.92,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,$0.01,$0.01,$0.01,$0.01,$69580.60,$69580.60,-,DROP,$0.03,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,-,-,-,-,-,-,-,-,-,DROP,-,-,-,-,-,-,"5,398","5,398","5,397","5,397","5,397","5,397"
76%,$125.30,60%,$75.80,-,-,2025-04-21 15:58:00,https://www.amazon.com/dp/0803728905,https://keepa.com/#!product/1-0803728905,The Gillygoofang,2025-04-22 22:18:00,2024-03-04 19:22:00,https://www.amazon.com/b/?node=283155,-,6,$6.21,15.00%,2016-07-26,Books,-,"Books, Subjects","=""0803728905""",-,ABIS_BOOK,Dial,-,Book,DROP,Book,George Mendoza,"George Mendoza (author), Mercer Mayer (illustrator)",Hardcover,1,-,1968,English (Published),0,717,28,232,167,-,-,-,-,-,-,DROP,-,-,-,-,-,-,-,1,DROP,1,4,15,-,-,DROP,-,-,-,$3.25,$3.25,$69147.52,$69147.52,100%,DROP,$3.25,$3.25,$3.25,$3.25,$3.25,$3.25,$3.25,DROP,$29288.20,DROP,0%,DROP,-,-,DROP,-,-,-,$3.25,$3.25,$69147.52,$69147.52,100%,DROP,$98.00,$98.00,$98.00,$98.00,$98.00,$98.00,$14.99,$14.99,$29288.20,$29288.20,0%,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,$0.01,$0.01,$30624.80,$30624.80,-,DROP,-,-,-,-,-,-,-,-,-,-,-,DROP,$0.02,$0.03,$0.03,$0.03,$0.02,$0.02,$0.01,$0.01,$30213.18,$30213.18,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,$0.02,$0.02,$0.02,$0.02,$0.02,$0.02,$0.01,$0.01,$54394.18,$54394.18,-,DROP,$0.04,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,-,-,-,-,-,-,-,-,-,DROP,325,325,325,325,325,325,-,-,-,-,-,-
76%,$98.15,77%,$99.94,-,-,2025-04-21 15:58:00,https://www.amazon.com/dp/B09SGNVJG5,https://keepa.com/#!product/1-B09SGNVJG5,Undated Bullet Journal and Planner: A Premade Undated Dotted Bullet Journal With Extra Blank Pages,2025-04-22 19:08:00,2024-10-24 16:44:00,https://www.amazon.com/b/?node=283155,-,78,$3.53,15.00%,2022-02-22,Books,"Self-Help, Time Management","Books, Subjects, Self-Help, Time Management","=""B09SGNVJG5""",-,ABIS_BOOK,Independently published,-,Book,DROP,Book,"Dean, Joy","Dean, Joy (author)",Spiral-bound,1,152,2022,"English (Published), English (Original Language), English ()",0,410,14,279,216,2022-02-14,-,-,Notebook,-,-,DROP,-,-,"1,499",990,990,"6,855,694","6,855,694",-,DROP,-,1,3,-,-,DROP,-,-,-,-,-,-,-,-,DROP,$14.99,$14.99,$14.98,$14.98,$14.98,$14.98,$9.99,DROP,$68428.04,DROP,57%,DROP,-,-,DROP,-,-,$60.07,$9.90,$9.90,$72624.52,$72624.52,100%,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,$0.01,$0.01,$0.01,$64873.88,$64873.88,-,DROP,-,-,-,-,-,-,-,-,-,-,-,DROP,$0.01,$0.01,$0.01,$0.01,$0.01,$0.01,$0.01,$0.01,$75206.24,$75206.24,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,$0.01,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,-,-,-,-,-,-,-,-,-,DROP,"1,499","1,499","1,498","1,498","1,498","1,498",-,-,-,-,-,-
