Percent Down 90,Avg. Price 90,Percent Down 365,Avg. Price 365,Price Now,Price Now Source,Deal found,AMZ link,Keepa Link,Title,last update,last price change,Sales Rank - Reference,Reviews - Rating,Reviews - Review Count,FBA Pick&Pack Fee,Referral Fee %,Tracking since,Categories - Root,Categories - Sub,Categories - Tree,ASIN,Freq. Bought Together,Type,Manufacturer,Brand,Product Group,Variation Attributes,Item Type,Author,Contributors,Binding,Number of Items,Number of Pages,Publication Date,Languages,Package - Quantity,Package Weight,Package Height,Package Length,Package Width,Listed since,Edition,Release Date,Format,Sales Rank - Current,Sales Rank - 30 days avg.,Sales Rank - 60 days avg.,Sales Rank - 90 days avg.,Sales Rank - 180 days avg.,Sales Rank - 365 days avg.,Sales Rank - Lowest,Sales Rank - Lowest 365 days,Sales Rank - Highest,Sales Rank - Highest 365 days,Sales Rank - Drops last 30 days,Sales Rank - Drops last 60 days,Sales Rank - Drops last 90 days,Sales Rank - Drops last 180 days,Sales Rank - Drops last 365 days,Buy Box - Current,Buy Box - 30 days avg.,Buy Box - 60 days avg.,Buy Box - 90 days avg.,Buy Box - 180 days avg.,Buy Box - 365 days avg.,Buy Box - Lowest,Buy Box - Lowest 365 days,Buy Box - Highest,Buy Box - Highest 365 days,Buy Box - 90 days OOS,Buy Box - Stock,Amazon - Current,Amazon - 30 days avg.,Amazon - 60 days avg.,Amazon - 90 days avg.,Amazon - 180 days avg.,Amazon - 365 days avg.,Amazon - Lowest,Amazon - Lowest 365 days,Amazon - Highest,Amazon - Highest 365 days,Amazon - 90 days OOS,Amazon - Stock,New - Current,New - 30 days avg.,New - 60 days avg.,New - 90 days avg.,New - 180 days avg.,New - 365 days avg.,New - Lowest,New - Lowest 365 days,New - Highest,New - Highest 365 days,New - 90 days OOS,New - Stock,"New, 3rd Party FBA - Current","New, 3rd Party FBA - 30 days avg.","New, 3rd Party FBA - 60 days avg.","New, 3rd Party FBA - 90 days avg.","New, 3rd Party FBA - 180 days avg.","New, 3rd Party FBA - 365 days avg.","New, 3rd Party FBA - Lowest","New, 3rd Party FBA - Lowest 365 days","New, 3rd Party FBA - Highest","New, 3rd Party FBA - Highest 365 days","New, 3rd Party FBA - 90 days OOS","New, 3rd Party FBA - Stock","New, 3rd Party FBM - Current","New, 3rd Party FBM - 30 days avg.","New, 3rd Party FBM - 60 days avg.","New, 3rd Party FBM - 90 days avg.","New, 3rd Party FBM - 180 days avg.","New, 3rd Party FBM - 365 days avg.","New, 3rd Party FBM - Lowest","New, 3rd Party FBM - Lowest 365 days","New, 3rd Party FBM - Highest","New, 3rd Party FBM - Highest 365 days","New, 3rd Party FBM - 90 days OOS","New, 3rd Party FBM - Stock",Buy Box Used - Current,Buy Box Used - 30 days avg.,Buy Box Used - 60 days avg.,Buy Box Used - 90 days avg.,Buy Box Used - 180 days avg.,Buy Box Used - 365 days avg.,Buy Box Used - Lowest,Buy Box Used - Lowest 365 days,Buy Box Used - Highest,Buy Box Used - Highest 365 days,Buy Box Used - 90 days OOS,Buy Box Used - Stock,Used - Current,Used - 30 days avg.,Used - 60 days avg.,Used - 90 days avg.,Used - 180 days avg.,Used - 365 days avg.,Used - Lowest,Used - Lowest 365 days,Used - Highest,Used - Highest 365 days,Used - 90 days OOS,Used - Stock,"Used, like new - Current","Used, like new - 30 days avg.","Used, like new - 60 days avg.","Used, like new - 90 days avg.","Used, like new - 180 days avg.","Used, like new - 365 days avg.","Used, like new - Lowest","Used, like new - Lowest 365 days","Used, like new - Highest","Used, like new - Highest 365 days","Used, like new - 90 days OOS","Used, like new - Stock","Used, very good - Current","Used, very good - 30 days avg.","Used, very good - 60 days avg.","Used, very good - 90 days avg.","Used, very good - 180 days avg.","Used, very good - 365 days avg.","Used, very good - Lowest","Used, very good - Lowest 365 days","Used, very good - Highest","Used, very good - Highest 365 days","Used, very good - 90 days OOS","Used, very good - Stock","Used, good - Current","Used, good - 30 days avg.","Used, good - 60 days avg.","Used, good - 90 days avg.","Used, good - 180 days avg.","Used, good - 365 days avg.","Used, good - Lowest","Used, good - Lowest 365 days","Used, good - Highest","Used, good - Highest 365 days","Used, good - 90 days OOS","Used, good - Stock","Used, acceptable - Current","Used, acceptable - 30 days avg.","Used, acceptable - 60 days avg.","Used, acceptable - 90 days avg.","Used, acceptable - 180 days avg.","Used, acceptable - 365 days avg.","Used, acceptable - Lowest","Used, acceptable - Lowest 365 days","Used, acceptable - Highest","Used, acceptable - Highest 365 days","Used, acceptable - 90 days OOS","Used, acceptable - Stock",List Price - Current,List Price - 30 days avg.,List Price - 60 days avg.,List Price - 90 days avg.,List Price - 180 days avg.,List Price - 365 days avg.,List Price - Lowest,List Price - Lowest 365 days,List Price - Highest,List Price - Highest 365 days,List Price - 90 days OOS,List Price - Stock,New Offer Count - Current,New Offer Count - 30 days avg.,New Offer Count - 60 days avg.,New Offer Count - 90 days avg.,New Offer Count - 180 days avg.,New Offer Count - 365 days avg.,Used Offer Count - Current,Used Offer Count - 30 days avg.,Used Offer Count - 60 days avg.,Used Offer Count - 90 days avg.,Used Offer Count - 180 days avg.,Used Offer Count - 365 days avg.
-,-,-,-,-,-,-,https://www.amazon.com/dp/0805440267,https://keepa.com/#!product/1-0805440267,Everlasting Dominion: A Theology of the Old Testament,-,-,-,-,-,$5.77 ,15.00%,2013-08-01,Books,"Religion & Spirituality, Christian Books & Bibles, Bible Study & Reference, Bible Study, Old Testament",Books > Subjects > Religion & Spirituality > Christian Books & Bibles > Bible Study & Reference > Bible Study > Old Testament,0805440267,-,-,B&H Academic,B&H Academic,-,-,-,"Merrill, Eugene H.",-,Paperback,-,-,2006-09-01,-,-,0.91 kg,5.0 cm,23.4 cm,16.1 cm,-,-,-,-,"437,407","1,783,345",-,"1,572,052","1,822,804","1,855,393",-,-,-,-,1,-,-,-,28,-,-,-,-,-,128.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105.74,-,-,-,-,-,-,-,-,-,-,-,-,$28.94 ,-,-,-,-,-,-,-,-,-,-,$105.94 ,-,-,-,-,-,-,$26.77 ,-,-,-,-,$110.83 ,-,-,-,-,-,-,-,-,-,-,-,$78.20 ,-,-,-,-,-,-,-,-,-,-,-,$84.73 ,-,-,-,-,-,-,-,-,-,-,-,$53.97 ,-,-,-,-,-,-,-,-,-,-,-,$80.56 ,-,-,-,-,-,-,-,-,-,-,-,$148.51 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,1,0,-,-,-,-,2
-,-,-,-,-,-,-,https://www.amazon.com/dp/1619701480,https://keepa.com/#!product/1-1619701480,ESV Fire Bible (Hardcover): English Standard Version,-,-,-,-,-,$7.08 ,15.00%,2016-10-31,Books,"Religion & Spirituality, Christian Books & Bibles, Bibles",Books > Subjects > Religion & Spirituality > Christian Books & Bibles > Bibles,1619701480,-,-,Hendrickson Bibles,Hendrickson Publishers,-,-,-,Life Publishers,-,Hardcover,-,-,2014-06-01,-,-,1.53 kg,4.9 cm,24.2 cm,17.7 cm,2014-01-11,-,-,-,"1,009,523","419,164",-,"830,106","784,148","761,530",-,-,-,-,9,-,-,-,58,-,-,-,-,-,54.46,-,-,-,-,-,-,-,-,-,-,-,$54.30 ,-,-,-,-,-,-,-,-,-,-,-,69.78,-,-,-,-,-,-,-,-,-,-,-,76.84,$34.27 ,-,-,-,-,-,-,-,-,-,-,$69.27 ,-,-,-,-,-,-,-,-,-,-,-,$58.96 ,-,-,-,-,-,-,-,-,-,-,-,$63.24 ,-,-,-,-,-,-,-,-,-,-,-,$80.69 ,-,-,-,-,-,-,-,-,-,-,-,$63.32 ,-,-,-,-,-,-,-,-,-,-,-,$69.51 ,-,-,-,-,-,-,-,-,-,-,-,$65.70 ,-,-,-,-,-,-,$54.95 ,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,1,1,-,-,-,-,5
-,-,-,-,-,-,-,https://www.amazon.com/dp/0878225226,https://keepa.com/#!product/1-0878225226,Skillstreaming in the Elementary School: Lesson Plans and Activities,-,-,-,-,-,$5.52 ,15.00%,2011-10-26,Books,"Education & Teaching, Schools & Teaching, Counseling",Books > Subjects > Education & Teaching > Schools & Teaching > Counseling,0878225226,-,-,Research Pr Pub,Research Press,-,-,-,"McGinnis, Ellen",-,Paperback,-,-,2005-09-01,-,-,0.70 kg,1.8 cm,27.4 cm,21.6 cm,-,-,-,-,"622,610","944,279",-,"1,051,329","942,388","971,801",-,-,-,-,6,-,-,-,51,-,-,-,-,-,166.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$155.00 ,-,-,-,-,144.06,-,-,-,-,-,-,-,-,-,-,-,141.83,$52.87 ,-,-,-,-,-,$158.99 ,-,-,-,-,$149.09 ,-,-,-,-,-,-,-,-,-,-,-,$99.05 ,-,-,-,-,-,-,-,-,-,-,-,$83.84 ,-,-,-,-,-,-,-,-,-,-,-,$154.49 ,-,-,-,-,-,-,-,-,-,-,-,$93.18 ,-,-,-,-,-,-,-,-,-,-,-,$98.18 ,-,-,-,-,-,-,-,-,-,-,-,$92.97 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,1,-,-,-,-,9
-,-,-,-,-,-,-,https://www.amazon.com/dp/1640553673,https://keepa.com/#!product/1-1640553673,"Dimensions of Long-Term Care Management: An Introduction, Third Edition",-,-,-,-,-,$6.05 ,15.01%,2022-11-19,Books,"Business & Money, Industries",Books > Subjects > Business & Money > Industries,1640553673,-,-,Gateway to Healthcare Management,,-,-,-,"Molinari PhD, Carol",-,Paperback,-,-,2023-04-10,-,-,1.09 kg,1.7 cm,25.4 cm,20.3 cm,2022-11-05,-,-,-,"327,666","1,005,713",-,"1,280,234","1,388,727","1,441,525",-,-,-,-,4,-,-,-,61,$82.99 ,-,-,-,-,87.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$82.99 ,-,-,-,-,83.86,-,-,-,-,-,-,-,-,-,-,-,99.98,$87.00 ,-,-,-,-,-,$86.98 ,-,-,-,-,$85.88 ,-,-,-,-,-,-,-,-,-,-,-,$70.91 ,-,-,-,-,-,-,-,-,-,-,-,$100.85 ,-,-,-,-,-,-,-,-,-,-,-,$137.53 ,-,-,-,-,-,-,-,-,-,-,-,$130.12 ,-,-,-,-,-,-,-,-,-,-,-,$93.12 ,-,-,-,-,-,-,-,-,-,-,-,$60.49 ,-,-,-,-,-,-,$89.00 ,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,0,-,-,-,-,2
-,-,-,-,-,-,-,https://www.amazon.com/dp/3791353977,https://keepa.com/#!product/1-3791353977,Alphonse Mucha,-,-,-,-,-,$7.64 ,15.00%,2014-10-05,Books,"Arts & Photography, Individual Artists, Monographs",Books > Subjects > Arts & Photography > Individual Artists > Monographs,3791353977,-,-,Prestel,Prestel,-,-,-,"Husslein-Arco, Agnes",-,Hardcover,-,-,2014-08-20,-,-,2.37 kg,3.4 cm,32.5 cm,25.0 cm,2014-04-08,-,-,-,"1,368,817","1,274,602",-,"1,064,467","929,257","868,374",-,-,-,-,1,-,-,-,62,$117.57 ,-,-,-,-,72.43,-,-,-,-,-,-,-,-,-,-,-,$54.98 ,-,-,-,-,-,-,$117.57 ,-,-,-,-,61.99,-,-,-,-,-,-,-,-,-,-,-,54.56,$10.99 ,-,-,-,-,-,$121.56 ,-,-,-,-,$67.41 ,-,-,-,-,-,-,-,-,-,-,-,$48.75 ,-,-,-,-,-,-,-,-,-,-,-,$53.44 ,-,-,-,-,-,-,-,-,-,-,-,$53.44 ,-,-,-,-,-,-,-,-,-,-,-,$53.34 ,-,-,-,-,-,-,-,-,-,-,-,$72.02 ,-,-,-,-,-,-,-,-,-,-,-,$60.14 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,7,0,-,-,-,-,5
-,-,-,-,-,-,-,https://www.amazon.com/dp/159711068X,https://keepa.com/#!product/1-159711068X,Invasion 68: Prague,-,-,-,-,-,$7.32 ,15.00%,2011-04-10,Books,"Arts & Photography, Individual Artists",Books > Subjects > Arts & Photography > Individual Artists,159711068X,-,-,Aperture Foundation,Aperture,-,-,-,Josef Koudelka,-,Paperback,-,-,2008-08-01,-,-,1.84 kg,2.3 cm,31.7 cm,24.7 cm,-,-,-,-,"765,300","2,908,452",-,"2,596,143","2,427,572","2,436,448",-,-,-,-,2,-,-,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,72.33,-,-,-,-,-,-,-,-,-,-,-,-,$38.99 ,-,-,-,-,-,-,-,-,-,-,$76.32 ,-,-,-,-,-,-,$76.32 ,-,-,-,-,$382.59 ,-,-,-,-,-,-,-,-,-,-,-,$351.92 ,-,-,-,-,-,-,-,-,-,-,-,$577.85 ,-,-,-,-,-,-,-,-,-,-,-,$884.62 ,-,-,-,-,-,-,-,-,-,-,-,$264.43 ,-,-,-,-,-,-,-,-,-,-,-,$914.26 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,7,-,-,-,-,4
-,-,-,-,-,-,-,https://www.amazon.com/dp/193388598X,https://keepa.com/#!product/1-193388598X,Letting Go: The Pathway of Surrender,-,-,-,-,-,$4.99 ,15.00%,2016-01-02,Books,"Self-Help, Personal Transformation",Books > Subjects > Self-Help > Personal Transformation,193388598X,-,-,Veritas Publishing,,-,-,-,David R. Hawkins MD PhD,-,Hardcover,-,-,2012-10-15,-,-,0.57 kg,2.8 cm,21.6 cm,14.2 cm,2013-03-11,-,-,-,"500,745","2,406,640",-,"2,686,129","2,572,595","2,355,690",-,-,-,-,3,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$28.99 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$29.97 ,-,-,-,-,$120.69 ,-,-,-,-,-,-,-,-,-,-,-,$104.62 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$239.46 ,-,-,-,-,-,-,-,-,-,-,-,$103.71 ,-,-,-,-,-,-,-,-,-,-,-,$232.58 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-,6
-,-,-,-,-,-,-,https://www.amazon.com/dp/0395142555,https://keepa.com/#!product/1-0395142555,Modern Algebra Structure and Method Book 1,-,-,-,-,-,$5.87 ,15.00%,2013-02-06,Books,"Science & Math, Mathematics, Pure Mathematics, Algebra",Books > Subjects > Science & Math > Mathematics > Pure Mathematics > Algebra,0395142555,-,-,Houghton Mifflin School,Houghton Mifflin School,-,-,-,"Dolciani, Mary P.",-,Hardcover,-,-,1976,-,-,0.95 kg,3.6 cm,23.9 cm,16.8 cm,-,-,-,-,"387,338","1,045,008",-,"1,018,401","1,224,162","1,301,861",-,-,-,-,5,-,-,-,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75.97,-,-,-,-,-,-,-,-,-,-,-,75.97,$59.59 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$50.61 ,-,-,-,-,-,-,-,-,-,-,-,$27.28 ,-,-,-,-,-,-,-,-,-,-,-,$129.13 ,-,-,-,-,-,-,-,-,-,-,-,$35.63 ,-,-,-,-,-,-,-,-,-,-,-,$27.84 ,-,-,-,-,-,-,-,-,-,-,-,$24.68 ,-,-,-,-,-,-,$25.48 ,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,1,-,-,-,-,12
-,-,-,-,-,-,-,https://www.amazon.com/dp/1684115310,https://keepa.com/#!product/1-1684115310,Destruction of Black Civilization: Great Issues of a Race from 4500 B.C. to 2000 A.D.,-,-,-,-,-,$5.37 ,15.00%,2018-04-27,Books,-,Books > Subjects,1684115310,-,-,www.bnpublishing.com,,-,-,-,Chancellor Williams,-,Hardcover,-,-,2018-03-22,-,-,0.64 kg,2.8 cm,22.1 cm,14.5 cm,2018-03-26,-,-,-,"1,267,520","851,117",-,"755,799","717,234","728,120",-,-,-,-,3,-,-,-,92,-,-,-,-,-,69.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$103.39 ,-,-,-,-,68.7,-,-,-,-,-,-,-,-,-,-,-,68.95,$64.95 ,-,-,-,-,-,-,-,-,-,-,$74.28 ,-,-,-,-,-,-,-,-,-,-,-,$63.81 ,-,-,-,-,-,-,-,-,-,-,-,$93.55 ,-,-,-,-,-,-,-,-,-,-,-,$49.74 ,-,-,-,-,-,-,-,-,-,-,-,$65.62 ,-,-,-,-,-,-,-,-,-,-,-,$75.50 ,-,-,-,-,-,-,-,-,-,-,-,$113.07 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,1,2,-,-,-,-,2
-,-,-,-,-,-,-,https://www.amazon.com/dp/0970162405,https://keepa.com/#!product/1-0970162405,Scrapbooks of My Mind: A Hollywood Autobiography,-,-,-,-,-,$5.52 ,15.00%,2011-04-10,Books,"Biographies & Memoirs, Arts & Literature, Actors & Entertainers",Books > Subjects > Biographies & Memoirs > Arts & Literature > Actors & Entertainers,0970162405,-,-,Strange New World,Strange New World,-,-,-,"Jason, Rick",-,Paperback,-,-,2000-07-29,-,-,0.70 kg,1.3 cm,22.6 cm,15.5 cm,-,-,-,-,"532,542","2,571,770",-,"2,268,335","2,460,594","2,265,371",-,-,-,-,1,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$75.99 ,-,-,-,-,-,-,-,-,-,-,"$1,131.75 ",-,-,-,-,-,-,$29.99 ,-,-,-,-,$124.16 ,-,-,-,-,-,-,-,-,-,-,-,$68.60 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$363.81 ,-,-,-,-,-,-,-,-,-,-,-,$199.28 ,-,-,-,-,-,-,-,-,-,-,-,$94.77 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,0,-,-,-,-,1
