Percent Down 90,Avg. Price 90,Percent Down 365,Avg. Price 365,Price Now,Price Now Source,Deal found,AMZ link,Keepa Link,Title,last update,last price change,Sales Rank - Reference,Reviews - Rating,Reviews - Review Count,FBA Pick&Pack Fee,Referral Fee %,Tracking since,Categories - Root,Categories - Sub,Categories - Tree,ASIN,Freq. Bought Together,Type,Manufacturer,Brand,Product Group,Variation Attributes,Item Type,Author,Contributors,Binding,Number of Items,Number of Pages,Publication Date,Languages,Package - Quantity,Package Weight,Package Height,Package Length,Package Width,Listed since,Edition,Release Date,Format,Sales Rank - Current,Sales Rank - 30 days avg.,Sales Rank - 60 days avg.,Sales Rank - 90 days avg.,Sales Rank - 180 days avg.,Sales Rank - 365 days avg.,Sales Rank - Lowest,Sales Rank - Lowest 365 days,Sales Rank - Highest,Sales Rank - Highest 365 days,Sales Rank - Drops last 30 days,Sales Rank - Drops last 60 days,Sales Rank - Drops last 90 days,Sales Rank - Drops last 180 days,Sales Rank - Drops last 365 days,Buy Box - Current,Buy Box - 30 days avg.,Buy Box - 60 days avg.,Buy Box - 90 days avg.,Buy Box - 180 days avg.,Buy Box - 365 days avg.,Buy Box - Lowest,Buy Box - Lowest 365 days,Buy Box - Highest,Buy Box - Highest 365 days,Buy Box - 90 days OOS,Buy Box - Stock,Amazon - Current,Amazon - 30 days avg.,Amazon - 60 days avg.,Amazon - 90 days avg.,Amazon - 180 days avg.,Amazon - 365 days avg.,Amazon - Lowest,Amazon - Lowest 365 days,Amazon - Highest,Amazon - Highest 365 days,Amazon - 90 days OOS,Amazon - Stock,New - Current,New - 30 days avg.,New - 60 days avg.,New - 90 days avg.,New - 180 days avg.,New - 365 days avg.,New - Lowest,New - Lowest 365 days,New - Highest,New - Highest 365 days,New - 90 days OOS,New - Stock,"New, 3rd Party FBA - Current","New, 3rd Party FBA - 30 days avg.","New, 3rd Party FBA - 60 days avg.","New, 3rd Party FBA - 90 days avg.","New, 3rd Party FBA - 180 days avg.","New, 3rd Party FBA - 365 days avg.","New, 3rd Party FBA - Lowest","New, 3rd Party FBA - Lowest 365 days","New, 3rd Party FBA - Highest","New, 3rd Party FBA - Highest 365 days","New, 3rd Party FBA - 90 days OOS","New, 3rd Party FBA - Stock","New, 3rd Party FBM - Current","New, 3rd Party FBM - 30 days avg.","New, 3rd Party FBM - 60 days avg.","New, 3rd Party FBM - 90 days avg.","New, 3rd Party FBM - 180 days avg.","New, 3rd Party FBM - 365 days avg.","New, 3rd Party FBM - Lowest","New, 3rd Party FBM - Lowest 365 days","New, 3rd Party FBM - Highest","New, 3rd Party FBM - Highest 365 days","New, 3rd Party FBM - 90 days OOS","New, 3rd Party FBM - Stock",Buy Box Used - Current,Buy Box Used - 30 days avg.,Buy Box Used - 60 days avg.,Buy Box Used - 90 days avg.,Buy Box Used - 180 days avg.,Buy Box Used - 365 days avg.,Buy Box Used - Lowest,Buy Box Used - Lowest 365 days,Buy Box Used - Highest,Buy Box Used - Highest 365 days,Buy Box Used - 90 days OOS,Buy Box Used - Stock,Used - Current,Used - 30 days avg.,Used - 60 days avg.,Used - 90 days avg.,Used - 180 days avg.,Used - 365 days avg.,Used - Lowest,Used - Lowest 365 days,Used - Highest,Used - Highest 365 days,Used - 90 days OOS,Used - Stock,"Used, like new - Current","Used, like new - 30 days avg.","Used, like new - 60 days avg.","Used, like new - 90 days avg.","Used, like new - 180 days avg.","Used, like new - 365 days avg.","Used, like new - Lowest","Used, like new - Lowest 365 days","Used, like new - Highest","Used, like new - Highest 365 days","Used, like new - 90 days OOS","Used, like new - Stock","Used, very good - Current","Used, very good - 30 days avg.","Used, very good - 60 days avg.","Used, very good - 90 days avg.","Used, very good - 180 days avg.","Used, very good - 365 days avg.","Used, very good - Lowest","Used, very good - Lowest 365 days","Used, very good - Highest","Used, very good - Highest 365 days","Used, very good - 90 days OOS","Used, very good - Stock","Used, good - Current","Used, good - 30 days avg.","Used, good - 60 days avg.","Used, good - 90 days avg.","Used, good - 180 days avg.","Used, good - 365 days avg.","Used, good - Lowest","Used, good - Lowest 365 days","Used, good - Highest","Used, good - Highest 365 days","Used, good - 90 days OOS","Used, good - Stock","Used, acceptable - Current","Used, acceptable - 30 days avg.","Used, acceptable - 60 days avg.","Used, acceptable - 90 days avg.","Used, acceptable - 180 days avg.","Used, acceptable - 365 days avg.","Used, acceptable - Lowest","Used, acceptable - Lowest 365 days","Used, acceptable - Highest","Used, acceptable - Highest 365 days","Used, acceptable - 90 days OOS","Used, acceptable - Stock",List Price - Current,List Price - 30 days avg.,List Price - 60 days avg.,List Price - 90 days avg.,List Price - 180 days avg.,List Price - 365 days avg.,List Price - Lowest,List Price - Lowest 365 days,List Price - Highest,List Price - Highest 365 days,List Price - 90 days OOS,List Price - Stock,New Offer Count - Current,New Offer Count - 30 days avg.,New Offer Count - 60 days avg.,New Offer Count - 90 days avg.,New Offer Count - 180 days avg.,New Offer Count - 365 days avg.,Used Offer Count - Current,Used Offer Count - 30 days avg.,Used Offer Count - 60 days avg.,Used Offer Count - 90 days avg.,Used Offer Count - 180 days avg.,Used Offer Count - 365 days avg.
82%,-,-,-,-,-,2025-05-30 11:20:00,https://www.amazon.com/dp/0978001311,https://keepa.com/#!product/1-0978001311,"The Exquisiteness of Being Human: The Body, Mind, Spirit, Soul Dominance Theory",2025-05-30 11:20:00,2020-07-12 00:56:00,-,-,-,-,-,2017-03-16,Books,-,Books > Subjects,"=""0978001311""",-,-,Spirit Seeker,-,-,-,-,Margot McKinnon,-,Paperback,-,-,-,-,-,0.27 kg,1.8 cm,21.8 cm,13.7 cm,-,-,-,-,"1,439,280","1,495,385",-,"1,942,045","2,211,209","1,988,900",-,-,-,-,4,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$21.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80%,-,-,-,-,-,2025-05-30 12:40:00,https://www.amazon.com/dp/1848638930,https://keepa.com/#!product/1-1848638930,Wylding Hall,2025-05-30 12:40:00,2025-05-29 00:40:00,-,-,-,-,-,2015-10-27,Books,-,Books > Subjects,"=""1848638930""",-,-,PS Publishing,-,-,-,-,Elizabeth Hand,-,Hardcover,-,-,-,-,-,0.34 kg,1.8 cm,21.9 cm,15.7 cm,2015-08-26,-,-,-,"931,616","1,230,499",-,"1,149,096","1,193,459","927,622",-,-,-,-,1,-,-,-,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$95.84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$22.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$44.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79%,-,-,-,-,-,2025-05-29 15:18:00,https://www.amazon.com/dp/1593075669,https://keepa.com/#!product/1-1593075669,"Mail, Vol. 1",2025-05-29 16:06:00,2024-10-09 22:40:00,-,-,-,-,-,2011-07-24,Books,"Comics & Graphic Novels, Manga, Horror",Books > Subjects > Comics & Graphic Novels > Manga > Horror,"=""1593075669""",-,-,Dark Horse,-,-,-,-,Housui Yamazaki,-,Paperback,-,-,-,-,-,0.18 kg,2.0 cm,17.8 cm,12.9 cm,-,-,-,-,"1,003,800","4,110,188",-,"4,105,988","3,754,822","3,595,693",-,-,-,-,1,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$21.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$45.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$25.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79%,-,-,-,-,-,2025-05-29 15:20:00,https://www.amazon.com/dp/0671407104,https://keepa.com/#!product/1-0671407104,The Last Temptation of Christ,2025-05-30 00:32:00,2025-03-21 23:24:00,-,-,-,-,-,2011-04-10,Books,"Literature & Fiction, Literary",Books > Subjects > Literature & Fiction > Literary,"=""0671407104""",-,-,Simon & Schuster,-,-,-,-,Nikos Kazantzakis,-,Hardcover,-,-,-,-,-,0.48 kg,3.3 cm,20.6 cm,12.7 cm,-,-,-,-,"1,459,064","1,091,269",-,"1,880,123","1,766,912","2,154,702",-,-,-,-,4,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$24.99,-,-,-,-,-,-,-,-,-,-,-,$14.95,-,-,-,-,-,-,-,-,-,-,-,$74.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$28.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79%,-,-,-,-,-,2025-05-30 07:00:00,https://www.amazon.com/dp/1601620470,https://keepa.com/#!product/1-1601620470,"Lakeda, A Kiss of Erotica",2025-05-30 07:58:00,2024-01-17 07:44:00,-,-,-,-,-,2016-11-03,Books,"Literature & Fiction, Genre Fiction, Urban Life",Books > Subjects > Literature & Fiction > Genre Fiction > Urban Life,"=""1601620470""",-,-,Urban,-,-,-,-,"Johnson, Stephanie",-,Paperback,-,-,-,-,-,0.20 kg,2.3 cm,20.3 cm,13.7 cm,-,-,-,-,"1,412,921","8,278,086",-,"7,828,004","7,523,126","6,945,715",-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$20.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$24.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79%,-,-,-,-,-,2025-05-30 01:24:00,https://www.amazon.com/dp/0521205549,https://keepa.com/#!product/1-0521205549,A History of the Crusades: 3 Volumes,2025-05-30 05:40:00,2021-11-17 14:46:00,-,-,-,-,-,2011-06-25,Books,"History, World",Books > Subjects > History > World,"=""0521205549""",-,-,Cambridge at the University Press,-,-,-,-,Steven Runciman,-,Hardcover,-,-,-,-,-,1.72 kg,7.1 cm,22.1 cm,14.0 cm,-,-,-,-,"806,236","7,203,572",-,"7,221,364","7,042,514","6,575,997",-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$23.66,-,-,-,-,-,-,-,-,-,-,-,$150.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$27.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79%,-,-,-,-,-,2025-05-29 21:30:00,https://www.amazon.com/dp/1616890622,https://keepa.com/#!product/1-1616890622,Citizens of No Place: An Architectural Graphic Novel,2025-05-30 06:56:00,2024-10-29 16:44:00,-,-,-,-,-,2012-04-16,Books,"Arts & Photography, Drawing",Books > Subjects > Arts & Photography > Drawing,"=""1616890622""",-,-,Princeton Architectural Press,-,-,-,-,"Lai, Jimenez",-,Paperback,-,-,-,-,-,0.31 kg,1.6 cm,25.2 cm,19.2 cm,2011-09-02,-,-,-,"1,312,381","1,505,603",-,"1,935,982","1,902,174","1,667,774",-,-,-,-,2,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$22.89,-,-,-,-,-,-,-,-,-,-,-,$19.95,-,-,-,-,-,-,-,-,-,-,-,$80.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$159.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78%,-,-,-,-,-,2025-05-27 16:24:00,https://www.amazon.com/dp/0671415298,https://keepa.com/#!product/1-0671415298,Dressing Sexy: Simple Tips for a Total Look That Makes Conversations Stop and Heads Turn (A Fireside Book),2025-05-29 15:20:00,2021-03-04 20:48:00,-,-,-,-,-,2016-11-28,Books,-,Books > Subjects,"=""0671415298""",-,-,Simon & Schuster,-,-,-,-,Barbara Burgdorf,-,Paperback,-,-,-,-,-,0.20 kg,1.0 cm,20.8 cm,13.5 cm,-,-,-,-,"1,213,573","4,559,624",-,"4,157,223","4,820,817","4,703,793",-,-,-,-,1,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$23.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78%,-,-,-,-,-,2025-05-29 11:40:00,https://www.amazon.com/dp/0941975320,https://keepa.com/#!product/1-0941975320,New Creation Image - Knowing Who Your Are in Christ,2025-05-29 15:20:00,2023-09-14 03:48:00,-,-,-,-,-,2016-04-01,Books,"Religion & Spirituality, New Age & Spirituality, Inspirational",Books > Subjects > Religion & Spirituality > New Age & Spirituality > Inspirational,"=""0941975320""",-,-,"Powerhouse Publishing (Big Bear Lake, CA)",-,-,-,-,A. L. Gill,-,Paperback,-,-,-,-,-,0.27 kg,1.5 cm,27.4 cm,21.1 cm,-,-,-,-,"1,524,968","3,445,600",-,"3,634,182","3,297,447","3,407,472",-,-,-,-,1,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$22.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77%,-,-,-,-,-,2025-05-30 12:40:00,https://www.amazon.com/dp/8408295837,https://keepa.com/#!product/1-8408295837,Estuche ¿A ti qué te pica? + ¿A ti qué te pasa? + ¿A ti qué te importa?,2025-05-30 12:40:00,2025-04-12 10:18:00,-,-,-,-,-,2024-11-12,Books,"Literature & Fiction, Genre Fiction",Books > Subjects > Literature & Fiction > Genre Fiction,"=""8408295837""",-,-,Booket,-,-,-,-,"Maxwell, Megan",-,Product Bundle,-,-,-,-,-,1.00 kg,8.7 cm,19.4 cm,12.9 cm,2024-08-28,-,-,-,"567,494","6,860,628",-,"6,704,146","4,962,104","4,962,104",-,-,-,-,2,-,-,-,4,$61.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$32.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$26.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
