"Percent Down 90","Avg. Price 90","Percent Down 365","Avg. Price 365","Price Now","Deal found","AMZ link","Keepa Link","Title","last update","last price change","Sales Rank - Reference","Reviews - Rating","Reviews - Review Count","FBA Pick&Pack Fee","Referral Fee %","Tracking since","Categories - Root","Categories - Sub","Categories - Tree","ASIN","Freq. Bought Together","Type","Manufacturer","Brand","Product Group","Variation Attributes","Item Type","Author","Contributors","Binding","Number of Items","Number of Pages","Publication Date","Languages","Package - Quantity","Package Weight","Package Height","Package Length","Package Width","Listed since","Edition","Release Date","Format","Sales Rank - Current","Sales Rank - 30 days avg.","Sales Rank - 60 days avg.","Sales Rank - 90 days avg.","Sales Rank - 180 days avg.","Sales Rank - 365 days avg.","Sales Rank - Lowest","Sales Rank - Lowest 365 days","Sales Rank - Highest","Sales Rank - Highest 365 days","Sales Rank - Drops last 30 days","Sales Rank - Drops last 60 days","Sales Rank - Drops last 90 days","Sales Rank - Drops last 180 days","Sales Rank - Drops last 365 days","Reviews - Current","Reviews - 30 days avg.","Reviews - 60 days avg.","Reviews - 90 days avg.","Reviews - 180 days avg.","Reviews - 365 days avg.","Buy Box - Current","Buy Box - 30 days avg.","Buy Box - 60 days avg.","Buy Box - 90 days avg.","Buy Box - 180 days avg.","Buy Box - 365 days avg.","Buy Box - Lowest","Buy Box - Lowest 365 days","Buy Box - Highest","Buy Box - Highest 365 days","Buy Box - 90 days OOS","Buy Box - Stock","Amazon - Current","Amazon - 30 days avg.","Amazon - 60 days avg.","Amazon - 90 days avg.","Amazon - 180 days avg.","Amazon - 365 days avg.","Amazon - Lowest","Amazon - Lowest 365 days","Amazon - Highest","Amazon - Highest 365 days","Amazon - 90 days OOS","Amazon - Stock","New - Current","New - 30 days avg.","New - 60 days avg.","New - 90 days avg.","New - 180 days avg.","New - 365 days avg.","New - Lowest","New - Lowest 365 days","New - Highest","New - Highest 365 days","New - 90 days OOS","New - Stock","New, 3rd Party FBA - Current","New, 3rd Party FBA - 30 days avg.","New, 3rd Party FBA - 60 days avg.","New, 3rd Party FBA - 90 days avg.","New, 3rd Party FBA - 180 days avg.","New, 3rd Party FBA - 365 days avg.","New, 3rd Party FBA - Lowest","New, 3rd Party FBA - Lowest 365 days","New, 3rd Party FBA - Highest","New, 3rd Party FBA - Highest 365 days","New, 3rd Party FBA - 90 days OOS","New, 3rd Party FBA - Stock","New, 3rd Party FBM - Current","New, 3rd Party FBM - 30 days avg.","New, 3rd Party FBM - 60 days avg.","New, 3rd Party FBM - 90 days avg.","New, 3rd Party FBM - 180 days avg.","New, 3rd Party FBM - 365 days avg.","New, 3rd Party FBM - Lowest","New, 3rd Party FBM - Lowest 365 days","New, 3rd Party FBM - Highest","New, 3rd Party FBM - Highest 365 days","New, 3rd Party FBM - 90 days OOS","New, 3rd Party FBM - Stock","Buy Box Used - Current","Buy Box Used - 30 days avg.","Buy Box Used - 60 days avg.","Buy Box Used - 90 days avg.","Buy Box Used - 180 days avg.","Buy Box Used - 365 days avg.","Buy Box Used - Lowest","Buy Box Used - Lowest 365 days","Buy Box Used - Highest","Buy Box Used - Highest 365 days","Buy Box Used - 90 days OOS","Buy Box Used - Stock","Used - Current","Used - 30 days avg.","Used - 60 days avg.","Used - 90 days avg.","Used - 180 days avg.","Used - 365 days avg.","Used - Lowest","Used - Lowest 365 days","Used - Highest","Used - Highest 365 days","Used - 90 days OOS","Used - Stock","Used, like new - Current","Used, like new - 30 days avg.","Used, like new - 60 days avg.","Used, like new - 90 days avg.","Used, like new - 180 days avg.","Used, like new - 365 days avg.","Used, like new - Lowest","Used, like new - Lowest 365 days","Used, like new - Highest","Used, like new - Highest 365 days","Used, like new - 90 days OOS","Used, like new - Stock","Used, very good - Current","Used, very good - 30 days avg.","Used, very good - 60 days avg.","Used, very good - 90 days avg.","Used, very good - 180 days avg.","Used, very good - 365 days avg.","Used, very good - Lowest","Used, very good - Lowest 365 days","Used, very good - Highest","Used, very good - Highest 365 days","Used, very good - 90 days OOS","Used, very good - Stock","Used, good - Current","Used, good - 30 days avg.","Used, good - 60 days avg.","Used, good - 90 days avg.","Used, good - 180 days avg.","Used, good - 365 days avg.","Used, good - Lowest","Used, good - Lowest 365 days","Used, good - Highest","Used, good - Highest 365 days","Used, good - 90 days OOS","Used, good - Stock","Used, acceptable - Current","Used, acceptable - 30 days avg.","Used, acceptable - 60 days avg.","Used, acceptable - 90 days avg.","Used, acceptable - 180 days avg.","Used, acceptable - 365 days avg.","Used, acceptable - Lowest","Used, acceptable - Lowest 365 days","Used, acceptable - Highest","Used, acceptable - Highest 365 days","Used, acceptable - 90 days OOS","Used, acceptable - Stock","List Price - Current","List Price - 30 days avg.","List Price - 60 days avg.","List Price - 90 days avg.","List Price - 180 days avg.","List Price - 365 days avg.","List Price - Lowest","List Price - Lowest 365 days","List Price - Highest","List Price - Highest 365 days","List Price - 90 days OOS","List Price - Stock","New Offer Count - Current","New Offer Count - 30 days avg.","New Offer Count - 60 days avg.","New Offer Count - 90 days avg.","New Offer Count - 180 days avg.","New Offer Count - 365 days avg.","Used Offer Count - Current","Used Offer Count - 30 days avg.","Used Offer Count - 60 days avg.","Used Offer Count - 90 days avg.","Used Offer Count - 180 days avg.","Used Offer Count - 365 days avg.","Warehouse Deals - Current","Warehouse Deals - 30 days avg.","Warehouse Deals - 60 days avg.","Warehouse Deals - 90 days avg.","Warehouse Deals - 180 days avg.","Warehouse Deals - 365 days avg.","Warehouse Deals - Lowest","Warehouse Deals - Lowest 365 days","Warehouse Deals - Highest","Warehouse Deals - Highest 365 days","Warehouse Deals - 90 days OOS"
"80%","$102.68","50%","$41.88","$21.00","2025-04-09 16:42:00","https://www.amazon.com/dp/1499810695","https://keepa.com/#!product/1-1499810695","WWE Legendary Joke Book","2025-04-10 12:40:00","2025-04-02 22:44:00","https://www.amazon.com/b/?node=283155","-","-","$3.15","14.95%","2022-04-01","Books","Children's Books, Humor, Jokes & Riddles","Books, Subjects, Children's Books, Humor, Jokes & Riddles","""1499810695""","-","ABIS_BOOK","BuzzPop","BuzzPop","Book","DROP","Book","BuzzPop","BuzzPop (author)","Paperback","1","64","2020","English (Published), English (Original Language), English ()","0","95","5","193","128","2019-07-14","Illustrated","2020-01-21","Illustrated","903,984","799,068","851,030","851,030","833,211","757,282","13,976","DROP","7,346,112","DROP","2","DROP","3","10","46","-","-","DROP","-","-","-","-","-","DROP","-","-","-","-","DROP","-","DROP","-","DROP","$6.99","$6.99","$6.99","$6.99","$6.99","$6.99","$6.99","DROP","$59396.84","DROP","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"80%","$103.84","63%","$55.71","$20.41","2025-04-08 00:44:00","https://www.amazon.com/dp/1580626130","https://keepa.com/#!product/1-1580626130","The Book of Rudy: The Wit and Wisdom of Rudy Boesch","2025-04-10 12:46:00","2025-04-08 00:44:00","https://www.amazon.com/b/?node=283155","-","-","$3.15","14.95%","2011-04-10","Books","Arts & Photography, Performing Arts","Books, Subjects, Arts & Photography, Performing Arts","""1580626130""","-","ABIS_BOOK","Adams Media Corp","Brand: Adams Media Corporation","Book","DROP","Book","Boesch, Rudy","Boesch, Rudy (author), Herman, Jeff (author)","Paperback","1","148","2001","English (Published), English (Original Language), English ()","1","91","11","152","102","-","First Ed","-","-","1,295,050","3,325,263","3,484,476","3,484,476","3,313,610","3,062,143","38,317","DROP","7,339,102","DROP","1","DROP","1","2","6","-","-","DROP","-","-","-","-","-","DROP","-","-","-","-","DROP","-","DROP","-","DROP","$5.95","$5.95","$5.95","$5.95","$5.94","$5.94","$5.95","DROP","$22833.17","DROP","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"80%","$122.55","75%","$101.90","$24.99","2025-03-29 13:36:00","https://www.amazon.com/dp/0990980006","https://keepa.com/#!product/1-0990980006","Great Taste No Pain","2025-04-10 12:58:00","2025-03-29 13:36:00","https://www.amazon.com/b/?node=283155","-","-","$3.53","14.95%","2017-05-20","Books","-","Books, Subjects","""0990980006""","https://keepa.com/#!product/1-1604618434, https://keepa.com/#!product/1-0960353232","ABIS_BOOK","-","-","Book","DROP","Book","Sherry Brescia","Sherry Brescia (author)","-","1","221","-","-","0","433","14","228","175","2016-10-26","-","-","-","1,001,619","6,137,085","6,290,940","6,290,940","6,143,293","5,666,435","126,431","DROP","7,500,592","DROP","1","DROP","1","1","1","-","-","DROP","-","-","-","-","-","DROP","-","-","-","-","DROP","-","DROP","-","DROP","$99.00","-","$99.00","$99.00","$99.00","$99.00","$99.00","DROP","$59210.28","DROP","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"80%","$116.43","33%","$34.90","$23.40","2025-03-30 10:44:00","https://www.amazon.com/dp/B08PXBCTPT","https://keepa.com/#!product/1-B08PXBCTPT","101 Totally 1990s Crossword Puzzles: Crossword Puzzle Book for Adults and 90s Kids","2025-04-10 12:40:00","2025-03-30 10:36:00","https://www.amazon.com/b/?node=283155","-","-","$3.53","14.95%","2020-12-16","Books","Humor & Entertainment, Puzzles & Games, Crosswords","Books, Subjects, Humor & Entertainment, Puzzles & Games, Crosswords","""B08PXBCTPT""","https://keepa.com/#!product/1-0312590598, https://keepa.com/#!product/1-1547861878","ABIS_BOOK","Independently published","-","Book","DROP","Book","Puzzles, Lola","Puzzles, Lola (author)","Paperback","-","125","2020","English (Published), English (Original Language)","0","340","11","280","216","2020-12-08","-","-","-","1,475,900","1,464,871","1,464,441","1,464,441","1,438,708","1,324,728","49,323","DROP","5,318,400","DROP","-","DROP","-","3","6","-","-","DROP","-","-","-","$26.00","-","DROP","-","-","-","-","DROP","-","DROP","-","DROP","$7.98","$7.99","$7.98","$7.98","$7.99","$7.98","$7.99","DROP","$52385.00","DROP","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"79%","$116.65","81%","$129.36","$23.95","2025-04-08 18:24:00","https://www.amazon.com/dp/0926862006","https://keepa.com/#!product/1-0926862006","Acting With an Accent/Standard British","2025-04-10 12:40:00","2025-04-03 17:54:00","https://www.amazon.com/b/?node=283155","-","-","$3.15","14.95%","2014-02-28","Books","-","Books, Subjects","""0926862006""","-","ABIS_BOOK","Dialect Accent Specialist","-","Book","DROP","Book","Dr. David Alan Stern","Dr. David Alan Stern (author), D. A. Stern (editor), n/a (illustrator)","Audio CD","-","-","2003","English (Published), English ()","0","91","15","221","147","-","2nd","2003-06-01","-","982,511","5,774,678","6,029,962","6,029,962","5,909,859","5,543,374","75,964","DROP","7,501,540","DROP","1","DROP","1","1","1","-","-","DROP","-","-","-","-","-","DROP","-","-","-","-","DROP","-","DROP","-","DROP","$23.94","$23.94","$23.94","$23.94","$23.95","$23.94","$23.95","DROP","$23027.49","DROP","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"79%","$110.66","38%","$37.51","$23.17","2025-04-10 12:10:00","https://www.amazon.com/dp/1586840401","https://keepa.com/#!product/1-1586840401","Transitions and Consolidation of Democracy in Africa (Global Academic Publishing)","2025-04-10 12:10:00","2025-04-07 01:08:00","https://www.amazon.com/b/?node=283155","-","-","$3.53","14.95%","2014-05-19","Books","History, Africa","Books, Subjects, History, Africa","""1586840401""","https://keepa.com/#!product/1-0077837312","ABIS_BOOK","Global Academic Publishing","Global Academic Publishing","Book","DROP","Book","Samuel E. Quainoo","Samuel E. Quainoo (author)","Paperback","1","169","2008","English (Published), English (Original Language), English ()","0","313","10","229","152","-","Reprint","-","-","1,161,079","1,074,254","1,160,631","1,160,631","1,124,980","1,237,569","56,044","DROP","5,750,516","DROP","3","DROP","9","18","38","3395","-","DROP","-","-","-","-","-","DROP","-","-","-","-","DROP","-","DROP","-","DROP","$33.95","$33.94","$33.87","$33.87","$32.81","$32.55","$23.95","DROP","$73815.00","DROP","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"79%","$112.87","70%","$79.77","$23.64","2025-04-10 12:08:00","https://www.amazon.com/dp/1643071661","https://keepa.com/#!product/1-1643071661","Freedom's Highest Flight","2025-04-10 12:08:00","2025-04-10 12:08:00","https://www.amazon.com/b/?node=283155","-","-","$3.53","14.95%","2019-05-23","Books","Children's Books, Animals, Birds","Books, Subjects, Children's Books, Animals, Birds","""1643071661""","-","ABIS_BOOK","Mascot Books","Mascot Books","Book","DROP","Book","Casey McCall Corbett","Casey McCall Corbett (author)","hardcover","1","38","2019","English (Published), English (Original Language), English ()","0","271","8","223","221","2019-03-20","-","2019-05-07","-","383,324","5,629,558","5,528,359","5,528,359","5,342,559","4,985,219","80,835","DROP","7,503,316","DROP","-","DROP","1","1","1","-","-","DROP","-","-","-","-","-","DROP","-","-","-","-","DROP","-","DROP","-","DROP","$14.95","$14.94","$14.95","$14.95","$14.95","$14.95","$14.95","DROP","$44131.40","DROP","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"78%","$120.27","57%","$60.29","$25.99","2025-04-09 16:58:00","https://www.amazon.com/dp/1929657641","https://keepa.com/#!product/1-1929657641","Trauma Informed Treatment: The Restorative Approach","2025-04-10 12:40:00","2025-04-07 18:42:00","https://www.amazon.com/b/?node=283155","-","-","$6.21","14.95%","2016-05-27","Books","Health, Fitness & Dieting, Psychology & Counseling","Books, Subjects, Health, Fitness & Dieting, Psychology & Counseling","""1929657641""","https://keepa.com/#!product/1-1462549217, https://keepa.com/#!product/1-0593579658","ABIS_BOOK","NEARI Press","-","Book","DROP","Book","Patricia D. Wilcox","Patricia D. Wilcox (author)","Paperback","1","368","2012","English (Published), English (Original Language), English ()","0","590","26","228","150","2012-10-26","First Edition","-","-","1,145,675","885,445","2,094,339","2,094,339","1,877,406","2,083,806","45,553","DROP","7,463,912","DROP","6","DROP","6","12","16","3114","-","DROP","-","-","-","-","-","DROP","-","-","-","-","DROP","-","DROP","-","DROP","$26.00","$26.00","$26.00","$26.00","$26.00","$25.99","$26.00","DROP","$28419.10","DROP","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"78%","$89.45","72%","$72.14","$20.00","2025-04-07 06:44:00","https://www.amazon.com/dp/0441090699","https://keepa.com/#!product/1-0441090699","Callahan's Cross Salon","2025-04-10 12:40:00","2025-03-30 19:56:00","https://www.amazon.com/b/?node=283155","-","-","$3.15","14.95%","2017-03-14","Books","Science Fiction & Fantasy, Science Fiction","Books, Subjects, Science Fiction & Fantasy, Science Fiction","""0441090699""","-","ABIS_BOOK","Ace","Ace","Book","DROP","Book","Robinson, Spider","Robinson, Spider (author)","Mass Market Paperback","1","170","1984","English (Published), English ()","0","10","15","173","104","-","-","1984-07-15","-","1,405,096","5,384,217","6,780,102","6,780,102","6,229,411","7,356,623","193,960","DROP","11,432,801","DROP","2","DROP","2","3","3","-","-","DROP","-","-","-","-","-","DROP","-","-","-","-","DROP","-","DROP","-","DROP","$2.49","$2.50","$2.49","$2.49","$2.50","$2.49","$2.50","DROP","$32601.62","DROP","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"77%","$109.99","70%","$84.31","$24.99","2025-04-09 17:00:00","https://www.amazon.com/dp/0890962308","https://keepa.com/#!product/1-0890962308","Los Mestenos: Spanish Ranching in Texas, 1721-1821 (CENTENNIAL SERIES OF THE ASSOCIATION OF FORMER STUDENTS, TEXAS A & M UNIVERSITY)","2025-04-10 12:40:00","2025-04-03 16:18:00","https://www.amazon.com/b/?node=283155","-","-","$6.21","14.95%","2016-12-01","Books","History, Americas, United States, State & Local","Books, Subjects, History, Americas, United States, State & Local","""0890962308""","-","ABIS_BOOK","Texas A & M Univ Pr","-","Book","DROP","Book","Jackson, Jack","Jackson, Jack (author)","Hardcover","1","704","1986","English (Published), English (Original Language), English ()","0","1325","51","237","165","-","Reprint","-","-","616,055","4,597,534","4,619,905","4,619,905","4,193,529","3,718,989","107,760","DROP","6,846,636","DROP","1","DROP","1","1","5","-","-","DROP","-","-","-","-","-","DROP","-","-","-","-","DROP","-","DROP","-","DROP","$49.95","$49.95","$49.95","$49.95","$49.95","$49.94","$49.95","DROP","$31131.00","DROP","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","DROP","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
